,UNIVERSITY NAME,STATUS,TARGET MAJOR,TERM,GRE(Q),GRE(V),GRE(AWA),GRE(TOTAL),TOEFL IELTS,UG COLLEGE,UG MAJOR,CGPA,PAPERS,WORK EXPERIENCE
197,Rochester Institute of Technology,Admit,Computer Science,Fall 2018,170,161,4.5,331,109,IIT Delhi,Chemical Engineering,6.19,N/A,0 Mo
198,University of Houston,Admit,Industrial Engineering,Spring 2019,163,150,3,313,N/A,IIT Delhi,Chemical Engineering,6.5,N/A,0 Mo
199,University of Pennsylvania,Admit,Robotics,Fall 2020,170,158,4.5,328,116,IIT Delhi,Mechanical Engineering,7.93,N/A,0 Mo
200,University of Connecticut,Reject,Business Analytics,Spring 2018,158,148,3.5,306,7,IIT Delhi,Instrumentation Engineering,7.74,N/A,0 Mo
201,Iowa State University,Admit,Electrical Engineering,Fall 2018,167,155,3.5,322,104,IIT Madras,EEE,8.4,N/A,0 Mo
202,"University of Maryland, College Park",Reject,Computer Science,Fall 2017,168,166,4,334,110,IIT Madras,Computer Science,8.99,N/A,0 Mo
203,Arizona State University,Admit,Computer Science,Fall 2017,170,168,5.5,338,100,IIT Madras,Mechanical Engineering,8.4,N/A,0 Mo
204,The University of Chicago,Reject,Computer Science,Fall 2019,166,148,3,314,93,IIT Madras,Mechanical Engineering,7.6,N/A,17 Mo
205,North Carolina State University,Reject,Computer Science,Fall 2019,170,158,4,328,107,IIT Madras,EEE,7.4,N/A,29 Mo
206,"Texas A&M University, College Station",Reject,Computer Science,Fall 2019,170,158,4,328,107,IIT Madras,EEE,7.4,N/A,29 Mo
207,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2018,170,155,4,325,109,IIT Madras,Aeronautical Engineering,7.96,N/A,0 Mo
208,"Purdue University, West Lafayette",Admit,Civil Engineering,Fall 2018,170,159,4,329,116,IIT Madras,Civil Engineering,8.38,N/A,0 Mo
209,"University of Texas, Austin",Admit,Civil Engineering,Fall 2020,170,157,4,327,111,IIT Madras,Civil Engineering,9.14,0,0 Mo
210,North Carolina State University,Admit,Aerospace Engineering,Fall 2017,161,155,0,316,102,IIT Madras,Aeronautical Engineering,7.4,N/A,0 Mo
211,"Oklahoma State University, Stillwater",Admit,Data Science and Business Analytics,Fall 2018,168,143,4,311,93,IIT Madras,Civil Engineering,8.12,N/A,14 Mo
212,University of Pennsylvania,Admit,Computer Engineering,Fall 2019,167,157,3.5,324,103,IIT Madras,Mechanical Engineering,8.47,1,0 Mo
213,Georgia Institute of Technology,Admit,Civil Engineering,Fall 2018,170,159,4,329,116,IIT Madras,Civil Engineering,8.38,N/A,0 Mo
214,"State University of New York, Buffalo",Admit,Civil Engineering,Fall 2019,168,147,4,315,102,IIT Madras,Civil Engineering,8.29,N/A,0 Mo
215,"Purdue University, West Lafayette",Reject,Civil Engineering,Fall 2018,170,149,3.5,319,99,IIT Madras,Civil Engineering,7.98,N/A,0 Mo
216,"Purdue University, West Lafayette",Admit,Business Analytics and Information Syste,Fall 2019,N/A,N/A,N/A,N/A,112,IIT Madras,Metallurgical Engineering,7.5,N/A,0 Mo
217,Stevens Institute of Technology,Admit,Business Intelligence and Analytics,Fall 2018,168,143,4,311,93,IIT Madras,Civil Engineering,8.12,N/A,14 Mo
218,"University of Illinois, Urbana Champaign",Reject,Electrical & Computer Engineering,Fall 2017,170,160,4,330,117,IIT Madras,ECE,8.72,N/A,0 Mo
219,"University of Maryland, College Park",Reject,Mechanical Engineering,Fall 2018,170,154,3,324,105,IIT Madras,Mechanical Engineering,8.31,N/A,29 Mo
220,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2020,170,150,3.5,320,107,IIT Madras,Chemical Engineering,8.64,0,0 Mo
221,Massachusetts Institute of Technology,Reject,EECS,Fall 2018,165,165,4,330,114,IIT Madras,Metallurgical Engineering,7.6,1,11 Mo
222,"Purdue University, West Lafayette",Reject,Electrical & Computer Engineering,Fall 2018,169,155,4,324,111,IIT Madras,EEE,8.48,N/A,0 Mo
223,"University of Wisconsin, Madison",Reject,Mechanical Engineering,Fall 2019,168,160,4,328,119,IIT Madras,Mechanical Engineering,8.28,1,53 Mo
224,"Purdue University, West Lafayette",Admit,Mechanical Engineering,Fall 2020,170,159,4,329,106,IIT Madras,Aeronautical Engineering,9.6,N/A,0 Mo
225,"University of Texas, Austin",Reject,Business Analytics,Fall 2017,168,156,4,324,111,IIT Madras,Aeronautical Engineering,8.53,N/A,33 Mo
226,"Purdue University, West Lafayette",Admit,Mechanical Engineering,Fall 2017,170,151,3.5,321,107,IIT Madras,Mechanical Engineering,8.75,N/A,0 Mo
227,"Rutgers University, New Brunswick",Reject,Computer Science,Fall 2020,170,150,3.5,320,107,IIT Madras,Chemical Engineering,8.64,0,0 Mo
228,University of Southern California,Admit,Civil Engineering,Fall 2020,170,151,3,321,96,IIT Madras,Civil Engineering,8,N/A,17 Mo
229,Columbia University,Admit,Computer Science,Fall 2019,167,158,4.5,325,115,IIT Madras,Computer Science,8,N/A,0 Mo
230,"University of Michigan, Ann Arbor",Reject,Civil Engineering,Fall 2019,168,147,4,315,102,IIT Madras,Civil Engineering,8.29,N/A,0 Mo
231,Georgia Institute of Technology,Admit,Data Analytics,Fall 2018,168,160,4,328,111,IIT Madras,Mechanical Engineering,7.38,N/A,0 Mo
232,"University of California, Los Angeles",Admit,Business Analytics,Fall 2020,170,151,3.5,321,106,IIT Madras,Mechanical Engineering,7.88,N/A,0 Mo
233,"State University of New York, Buffalo",Admit,Civil Engineering,Fall 2017,167,145,3,312,97,IIT Madras,Civil Engineering,8.15,N/A,0 Mo
234,"University of Texas, Austin",Admit,Aerospace Engineering,Fall 2019,170,163,4,333,N/A,IIT Madras,Mechanical Engineering,8.74,N/A,0 Mo
235,Georgia Institute of Technology,Reject,Mechanical Engineering,Fall 2019,170,151,4,321,N/A,IIT Madras,Mechanical Engineering,8.64,N/A,18 Mo
236,"University of Illinois, Urbana Champaign",Reject,Civil & Environmental Engineering,Fall 2018,170,149,3.5,319,99,IIT Madras,Civil Engineering,7.98,N/A,0 Mo
237,Pennsylvania State University,Admit,Computer Science,Fall 2019,167,158,4.5,325,115,IIT Madras,Computer Science,8,N/A,0 Mo
238,Stanford University,Reject,Electrical Engineering,Fall 2018,169,163,4,332,110,IIT Madras,EEE,9.25,N/A,0 Mo
239,"University of Florida, Gainesville",Admit,Computer Science,Fall 2019,170,153,3,323,N/A,IIT Madras,EEE,7.82,N/A,29 Mo
240,"Indiana University, Bloomington",Admit,Data Science,Fall 2018,170,160,4.5,330,N/A,IIT Madras,Biomedical Engineering,8.1,0,18 Mo
241,"Texas A&M University, College Station",Admit,Biomedical Engineering,Fall 2018,170,156,4,326,111,IIT Madras,Biotechnology,8.23,N/A,0 Mo
242,New York University,Admit,Computer Science,Fall 2019,167,158,4.5,325,115,IIT Madras,Computer Science,8,N/A,0 Mo
243,"University of California, San Diego",Admit,Computer Science,Fall 2018,170,154,4,324,100,IIT Madras,ECE,8.73,N/A,0 Mo
244,New York University,Reject,Computer Science,Fall 2018,170,161,4,331,112,IIT Madras,EEE,8,N/A,0 Mo
245,New York University,Admit,Industrial Engineering,Fall 2020,169,159,3.5,328,113,IIT Madras,Chemical Engineering,6.9,1,17 Mo
246,"State University of New York, Buffalo",Admit,Computer Science,Fall 2017,167,150,4,317,96,IIT Madras,Mechanical Engineering,7.35,N/A,18 Mo
247,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2019,170,148,3.5,318,103,IIT Madras,EEE,7.45,N/A,17 Mo
248,"University of Florida, Gainesville",Reject,Computer Science,Fall 2017,167,150,4,317,96,IIT Madras,Mechanical Engineering,7.35,N/A,18 Mo
249,"University of Texas, Austin",Reject,Civil Engineering,Fall 2019,168,147,4,315,102,IIT Madras,Civil Engineering,8.29,N/A,0 Mo
250,Georgia Institute of Technology,Admit,Civil Engineering,Fall 2020,170,151,3,321,96,IIT Madras,Civil Engineering,8,N/A,17 Mo
251,Carnegie Mellon University,Reject,Computer Science,Fall 2019,170,151,3.5,321,111,IIT Madras,Computer Science,9.07,N/A,0 Mo
252,"Indiana University, Bloomington",Admit,Data Science,Fall 2020,166,152,3.5,318,108,IIT Madras,Mechanical Engineering,8.27,N/A,0 Mo
253,"University of Illinois, Urbana Champaign",Reject,Mechanical Engineering,Fall 2017,168,159,3,327,108,IIT Madras,Mechanical Engineering,8.53,N/A,18 Mo
254,"University of Minnesota, Twin Cities",Admit,Computer Science,Fall 2017,168,166,4,334,110,IIT Madras,Computer Science,8.99,N/A,0 Mo
255,"University of Texas, Dallas",Admit,Computer Engineering,Fall 2018,161,148,3.5,309,93,IIT Madras,EEE,6.35,N/A,42 Mo
256,"Indiana University, Bloomington",Admit,Data Science,Fall 2020,166,163,4,329,N/A,IIT Madras,Chemical Engineering,7.4,N/A,51 Mo
257,"University of California, Berkeley",Reject,Information Management and Systems,Fall 2020,166,152,3.5,318,108,IIT Madras,Mechanical Engineering,8.27,N/A,0 Mo
258,Nanyang Technological University,Admit,Finance,Fall 2020,170,152,3.5,322,107,IIT Madras,Civil Engineering,7.6,0,29 Mo
259,University of British Columbia,Reject,Civil Engineering,Fall 2017,168,159,4.5,327,116,IIT Madras,Civil Engineering,8.42,N/A,0 Mo
260,University of Southern California,Reject,Computer Science,Fall 2019,164,150,3.5,314,93,IIT Madras,EEE,7.1,0,16 Mo
261,"University of Wisconsin, Madison",Admit,Mechanical Engineering,Fall 2020,170,151,4,321,110,IIT Madras,Mechanical Engineering,8.32,1,0 Mo
262,"University of Illinois, Urbana Champaign",Reject,Computer Science,Fall 2017,170,165,4.5,335,115,IIT Madras,Computer Science,8.56,N/A,18 Mo
263,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2019,169,154,3.5,323,101,IIT Madras,Computer Science,6.96,1,43 Mo
264,Arizona State University,Admit,Computer Science,Fall 2018,165,165,4,330,114,IIT Madras,Metallurgical Engineering,7.6,1,11 Mo
265,"University of Illinois, Urbana Champaign",Reject,Civil & Environmental Engineering,Fall 2018,170,159,4,329,116,IIT Madras,Civil Engineering,8.38,N/A,0 Mo
266,Carnegie Mellon University,Reject,Robotics,Fall 2017,168,159,3,327,108,IIT Madras,Mechanical Engineering,8.53,N/A,18 Mo
267,"University of California, San Diego",Admit,Electrical & Computer Engineering,Fall 2018,169,163,4,332,110,IIT Madras,EEE,9.25,N/A,0 Mo
268,University of Washington,Reject,Environmental Engineering,Fall 2018,170,158,4,328,110,IIT Madras,Civil Engineering,8.22,N/A,0 Mo
269,"University of Michigan, Ann Arbor",Reject,Materials Science & Engineering,Fall 2018,167,161,5,328,117,IIT Madras,Metallurgical Engineering,7.81,N/A,0 Mo
270,North Carolina State University,Admit,Electrical Engineering,Fall 2016,163,155,3.5,318,109,IIT Madras,ECE,6.99,N/A,0 Mo
271,"State University of New York, Buffalo",Admit,Computer Science,Fall 2019,164,150,3.5,314,93,IIT Madras,EEE,7.1,0,16 Mo
272,"University of Texas, Austin",Admit,Civil Engineering,Fall 2018,170,159,4,329,116,IIT Madras,Civil Engineering,8.38,N/A,0 Mo
273,Columbia University,Admit,Management Science and Engineering,Fall 2018,170,162,3.5,332,111,IIT Madras,Metallurgical Engineering,8.76,N/A,0 Mo
274,"University of Texas, Dallas",Admit,Business Analytics Flex,Fall 2018,168,143,4,311,93,IIT Madras,Civil Engineering,8.12,N/A,14 Mo
275,Georgia Institute of Technology,Admit,Finance,Fall 2019,168,152,3.5,320,106,IIT Madras,EEE,72,N/A,0 Mo
276,"University of Illinois, Urbana Champaign",Admit,Industrial Engineering,Fall 2017,170,151,3.5,321,107,IIT Madras,Mechanical Engineering,8.75,N/A,0 Mo
277,Carnegie Mellon University,Reject,Robotics,Fall 2020,170,151,4,321,110,IIT Madras,Mechanical Engineering,8.32,1,0 Mo
278,Columbia University,Reject,Computer Science,Fall 2019,170,151,3.5,321,111,IIT Madras,Computer Science,9.07,N/A,0 Mo
279,University of British Columbia,Admit,Mechanical Engineering,Fall 2019,168,165,4,333,119,IIT Madras,Mechanical Engineering,8.1,N/A,0 Mo
280,Boston University,Reject,Computer Science,Fall 2019,170,151,3.5,321,111,IIT Madras,Computer Science,9.07,N/A,0 Mo
281,Iowa State University,Admit,Aerospace Engineering,Spring 2015,166,159,3,325,111,IIT Madras,Aeronautical Engineering,7.53,N/A,0 Mo
282,"University of Texas, Austin",Reject,Civil Engineering,Fall 2018,170,149,3.5,319,99,IIT Madras,Civil Engineering,7.98,N/A,0 Mo
283,Carnegie Mellon University,Reject,Finance,Fall 2020,170,152,3.5,322,107,IIT Madras,Civil Engineering,7.6,0,29 Mo
284,Massachusetts Institute of Technology,Reject,Business Analytics,Fall 2020,169,152,3,321,110,IIT Madras,Civil Engineering,8.72,N/A,27 Mo
285,Georgia Institute of Technology,Admit,Data Analytics,Fall 2017,168,156,4,324,111,IIT Madras,Aeronautical Engineering,8.53,N/A,33 Mo
286,"University of Colorado, Boulder",Admit,Computer Science,Fall 2019,164,150,3.5,314,93,IIT Madras,EEE,7.1,0,16 Mo
287,Dartmouth College,Reject,Engineering Management,Fall 2017,165,151,3.5,316,100,IIT Madras,Mechanical Engineering,8,N/A,16 Mo
288,"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,150,3.5,314,93,IIT Madras,EEE,7.1,0,16 Mo
289,Stanford University,Reject,Electrical Engineering,Fall 2019,168,160,4.5,328,115,IIT Madras,Chemical Engineering,9.15,N/A,0 Mo
290,"University of California, Santa Cruz",Reject,Computer Science,Fall 2019,170,158,4,328,107,IIT Madras,EEE,7.4,N/A,29 Mo
291,North Carolina State University,Reject,Electrical Engineering,Fall 2018,167,155,3.5,322,104,IIT Madras,EEE,8.4,N/A,0 Mo
292,"University of Maryland, College Park",Admit,Transportation Engineering,Fall 2018,170,149,3.5,319,99,IIT Madras,Civil Engineering,7.98,N/A,0 Mo
293,University of Warwick,Admit,Business Analytics,Fall 2020,169,159,3.5,328,113,IIT Madras,Chemical Engineering,6.9,1,17 Mo
294,Columbia University,Admit,Electrical Engineering,Fall 2018,169,155,4,324,111,IIT Madras,EEE,8.48,N/A,0 Mo
295,"University of California, Los Angeles",Reject,Computer Science,Fall 2018,170,154,4,324,100,IIT Madras,ECE,8.73,N/A,0 Mo
296,"University of Texas, Dallas",Admit,Business Analytics Flex,Fall 2019,167,150,4,317,105,IIT Madras,Mechanical Engineering,8.26,N/A,40 Mo
297,North Carolina State University,Reject,Data Analytics,Fall 2017,168,156,4,324,111,IIT Madras,Aeronautical Engineering,8.53,N/A,33 Mo
298,"University of Colorado, Boulder",Admit,Computer Science,Fall 2018,169,159,4,328,116,IIT Madras,Biotechnology,8.1,N/A,32 Mo
299,Columbia University,Admit,Data Science,Fall 2020,169,150,3.5,319,106,IIT Madras,ECE,7.8,0,6 Mo
300,"University of Texas, Dallas",Admit,Computer Science,Fall 2019,164,150,3.5,314,93,IIT Madras,EEE,7.1,0,16 Mo
301,University of Pennsylvania,Reject,Computer & Information Science,Fall 2020,169,159,4,328,116,IIT Kanpur,Computer Science,9.3,N/A,19 Mo
302,"University of California, Los Angeles",Admit,Computer Science,Fall 2019,170,165,5,335,N/A,IIT Kanpur,Mathematics,9.66,2,0 Mo
303,"University of Texas, Austin",Reject,Computer Science,Fall 2018,170,163,N/A,333,111,IIT Kanpur,EEE,9.52,N/A,19 Mo
304,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2020,170,163,4,333,114,IIT Kanpur,Metallurgical Engineering,6.1,N/A,19 Mo
305,Georgia Institute of Technology,Reject,Computer Science,Fall 2019,170,160,3.5,330,108,IIT Kanpur,ECE,9,1,17 Mo
306,"University of Illinois, Urbana Champaign",Reject,Computer Science,Fall 2018,169,155,3.5,324,113,IIT Kanpur,Computer Science,8.4,N/A,17 Mo
307,Columbia University,Admit,Business Analytics,Fall 2019,170,157,4.5,327,116,IIT Kanpur,Mechanical Engineering,8.6,N/A,17 Mo
308,University of Southern California,Reject,Computer Science,Fall 2016,168,148,3.5,316,101,IIT Kanpur,EEE,7.2,N/A,0 Mo
309,"University of Texas, Austin",Reject,Computer Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
310,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2020,170,159,4,329,110,IIT Kanpur,Computer Science,7.5,N/A,0 Mo
311,"Texas A&M University, College Station",Admit,Computer Engineering,Fall 2020,169,155,3,324,102,IIT Kanpur,EEE,8.2,0,18 Mo
312,"Texas A&M University, College Station",Reject,Computer Science,Fall 2016,168,148,3.5,316,101,IIT Kanpur,EEE,7.2,N/A,0 Mo
313,Carnegie Mellon University,Admit,Computer Science,Fall 2019,170,160,3.5,330,108,IIT Kanpur,ECE,9,1,17 Mo
314,Georgia Institute of Technology,Reject,Computer Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
315,"University of Michigan, Ann Arbor",Admit,Electrical & Computer Engineering,Fall 2019,169,163,4,332,N/A,IIT Kanpur,EEE,8.7,N/A,0 Mo
316,"University of Michigan, Ann Arbor",Admit,Computer Science,Fall 2019,170,160,3.5,330,108,IIT Kanpur,ECE,9,1,17 Mo
317,"University of Texas, Austin",Reject,Computer Science,Fall 2018,169,155,3.5,324,113,IIT Kanpur,Computer Science,8.4,N/A,17 Mo
318,"Texas A&M University, College Station",Admit,Electrical Engineering,Fall 2019,168,159,N/A,327,110,IIT Kanpur,EEE,8.01,N/A,0 Mo
319,Stanford University,Reject,Computer Science,Fall 2019,170,165,5,335,N/A,IIT Kanpur,Mathematics,9.66,2,0 Mo
320,University of Cincinnati,Reject,Business Analytics,Fall 2019,N/A,N/A,N/A,N/A,96,IIT Kanpur,Chemical Engineering,7.4,N/A,0 Mo
321,Georgia Institute of Technology,Admit,Computer Science,Fall 2019,170,165,5,335,N/A,IIT Kanpur,Mathematics,9.66,2,0 Mo
322,University of Houston,Reject,Computer Science,Fall 2016,168,148,3.5,316,101,IIT Kanpur,EEE,7.2,N/A,0 Mo
323,Harvard University,Reject,Data Science,Fall 2020,169,159,4,328,116,IIT Kanpur,Computer Science,9.3,N/A,19 Mo
324,"University of California, Irvine",Admit,Computer Science,Fall 2020,170,155,3.5,325,102,IIT Kanpur,EEE,8.4,N/A,0 Mo
325,Columbia University,Admit,Computer Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
326,University of Southern California,Admit,Electrical Engineering,Fall 2018,168,152,4,320,N/A,IIT Kanpur,ECE,9,N/A,42 Mo
327,"University of California, San Diego",Reject,Computer Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
328,New York University,Admit,Computer Science,Fall 2020,170,148,3,318,111,IIT Kanpur,ECE,8.1,N/A,17 Mo
329,University of Alberta,Reject,Computing Science,Fall 2020,170,159,4,329,110,IIT Kanpur,Computer Science,7.5,N/A,0 Mo
330,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2020,169,159,4,328,116,IIT Kanpur,Computer Science,9.3,N/A,19 Mo
331,"University of California, Davis",Admit,Business Analytics,Fall 2020,167,155,3.5,322,8,IIT Kanpur,Computer Science,5.9,0,29 Mo
332,Georgia Institute of Technology,Reject,Computer Science,Fall 2020,170,155,3.5,325,102,IIT Kanpur,EEE,8.4,N/A,0 Mo
333,"University of Maryland, College Park",Admit,Robotics,Fall 2018,163,155,3.5,318,105,IIT Kanpur,Aeronautical Engineering,8.7,N/A,0 Mo
334,"University of Wisconsin, Madison",Admit,Computer Science,Fall 2018,170,163,N/A,333,111,IIT Kanpur,EEE,9.52,N/A,19 Mo
335,University of Montreal,Admit,Computer Science,Fall 2018,N/A,N/A,N/A,N/A,85,IIT Kanpur,EEE,7.4,N/A,0 Mo
336,"University of Florida, Gainesville",Admit,Computer Science,Fall 2016,168,148,3.5,316,101,IIT Kanpur,EEE,7.2,N/A,0 Mo
337,"Rutgers University, New Brunswick",Admit,Electrical & Computer Engineering,Fall 2020,165,157,3.5,322,7,IIT Kanpur,Computer Science,6.3,N/A,18 Mo
338,ETH Zurich,Reject,Bioinformatics,Fall 2020,168,163,4,331,109,IIT Kanpur,ECE,8.3,N/A,0 Mo
339,Stanford University,Admit,Computer Science,Fall 2018,170,164,5.5,334,N/A,IIT Kanpur,Computer Science,9.5,N/A,0 Mo
340,"University of Wisconsin, Madison",Admit,Computer Science,Fall 2019,168,157,4.5,325,104,IIT Kanpur,ECE,9.3,N/A,0 Mo
341,Michigan Technological University,Admit,Mechanical Engineering,Fall 2018,160,153,3,313,107,IIT Kanpur,Mechanical Engineering,9.22,N/A,0 Mo
342,"University of Illinois, Urbana Champaign",Reject,Electrical & Computer Engineering,Fall 2017,170,154,3.5,324,110,IIT Kanpur,EEE,8,N/A,0 Mo
343,"University of Illinois, Urbana Champaign",Admit,Computer Science,Fall 2019,N/A,N/A,N/A,N/A,105,IIT Kanpur,EEE,9.5,N/A,0 Mo
344,"Purdue University, West Lafayette",Admit,Electrical & Computer Engineering,Fall 2020,169,155,3,324,102,IIT Kanpur,EEE,8.2,0,18 Mo
345,"State University of New York, Buffalo",Admit,Civil Engineering,Fall 2018,169,157,4.5,326,107,IIT Kanpur,Civil Engineering,70,N/A,0 Mo
346,Pennsylvania State University,Admit,Computer Science,Fall 2020,170,148,3,318,111,IIT Kanpur,ECE,8.1,N/A,17 Mo
347,Georgia Institute of Technology,Admit,Computer Science,Fall 2018,168,157,3.5,325,110,IIT Kanpur,Computer Science,7.5,N/A,0 Mo
348,"University of Maryland, College Park",Reject,Computer Science,Fall 2020,170,155,3.5,325,102,IIT Kanpur,EEE,8.4,N/A,0 Mo
349,"Texas A&M University, College Station",Admit,Computer Science,Fall 2019,170,152,3,322,104,IIT Kanpur,EEE,8.5,1,31 Mo
350,The University of Chicago,Admit,Data Analytics,Fall 2018,163,151,3.5,314,N/A,IIT Kanpur,Economics,8,N/A,0 Mo
351,McGill University,Reject,Computer Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
352,"University of California, San Diego",Admit,Computer Science,Fall 2019,170,160,3.5,330,108,IIT Kanpur,ECE,9,1,17 Mo
353,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2018,169,155,3.5,324,113,IIT Kanpur,Computer Science,8.4,N/A,17 Mo
354,Carnegie Mellon University,Reject,Computer Science,Fall 2018,170,163,N/A,333,111,IIT Kanpur,EEE,9.52,N/A,19 Mo
355,"Purdue University, West Lafayette",Admit,Electrical & Computer Engineering,Fall 2018,168,152,4,320,N/A,IIT Kanpur,ECE,9,N/A,42 Mo
356,NYU Tandon School of Engineering,Admit,Computer Engineering,Spring 2020,166,162,4.5,328,116,IIT Kanpur,ECE,8,N/A,0 Mo
357,Carnegie Mellon University,Reject,Computer Science,Fall 2019,170,152,3,322,104,IIT Kanpur,EEE,8.5,1,31 Mo
358,"University of Texas, Dallas",Admit,Business Analytics Flex,Fall 2019,168,154,3.5,322,100,IIT Kanpur,Civil Engineering,5.9,N/A,0 Mo
359,"University of Maryland, College Park",Admit,Civil & Environmental Engineering,Fall 2018,169,157,4.5,326,107,IIT Kanpur,Civil Engineering,70,N/A,0 Mo
360,"University of Minnesota, Twin Cities",Reject,Data Science,Fall 2016,168,148,3.5,316,101,IIT Kanpur,EEE,7.2,N/A,0 Mo
361,"University of Maryland, College Park",Reject,Computer Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
362,"University of California, Los Angeles",Admit,Computer Science,Fall 2020,170,155,3.5,325,102,IIT Kanpur,EEE,8.4,N/A,0 Mo
363,Oregon State University,Admit,Electrical & Computer Engineering,Fall 2017,170,157,3,327,N/A,IIT Kanpur,EEE,7.9,N/A,0 Mo
364,ETH Zurich,Reject,Data Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
365,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2020,170,155,3.5,325,102,IIT Kanpur,EEE,8.4,N/A,0 Mo
366,Nanyang Technological University,Admit,MBA,Fall 2020,167,161,3.5,328,N/A,IIT Kanpur,Mechanical Engineering,8.6,2,39 Mo
367,Carnegie Mellon University,Reject,Data Science,Fall 2020,170,159,4,329,110,IIT Kanpur,Computer Science,7.5,N/A,0 Mo
368,"University of Maryland, College Park",Admit,Telecommunications Engineering,Fall 2018,161,152,0,313,N/A,IIT Kanpur,ECE,7.3,N/A,0 Mo
369,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2020,170,159,4,329,110,IIT Kanpur,Computer Science,7.5,N/A,0 Mo
370,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2019,170,165,5,335,N/A,IIT Kanpur,Mathematics,9.66,2,0 Mo
371,"University of Texas, Austin",Reject,Electrical & Computer Engineering,Fall 2019,168,159,N/A,327,110,IIT Kanpur,EEE,8.01,N/A,0 Mo
372,North Carolina State University,Admit,Computer Engineering,Fall 2020,165,157,3.5,322,7,IIT Kanpur,Computer Science,6.3,N/A,18 Mo
373,"University of Wisconsin, Madison",Admit,Computer Science,Fall 2017,170,153,3.5,323,105,IIT Kanpur,EEE,89,N/A,0 Mo
374,Stanford University,Admit,Computational and Mathematical Engineeri,Fall 2020,169,159,4,328,116,IIT Kanpur,Computer Science,9.3,N/A,19 Mo
375,University of Cincinnati,Admit,Business Analytics,Fall 2018,164,155,3,319,103,IIT Kanpur,Mechanical Engineering,7.7,N/A,0 Mo
376,San Jose State University,Admit,Software Engineering,Fall 2020,168,159,4,327,110,IIT Kanpur,Computer Science,6.7,N/A,43 Mo
377,Pennsylvania State University,Admit,Electrical Engineering,Fall 2017,170,154,3.5,324,110,IIT Kanpur,EEE,8,N/A,0 Mo
378,Carnegie Mellon University,Reject,Data Science,Fall 2018,169,155,3.5,324,113,IIT Kanpur,Computer Science,8.4,N/A,17 Mo
379,"Texas A&M University, College Station",Admit,Computer Science,Fall 2020,170,148,3,318,111,IIT Kanpur,ECE,8.1,N/A,17 Mo
380,"University of Wisconsin, Madison",Reject,Electrical Engineering,Fall 2017,170,157,3,327,N/A,IIT Kanpur,EEE,7.9,N/A,0 Mo
381,McGill University,Reject,Computer Science,Fall 2018,169,155,3.5,324,113,IIT Kanpur,Computer Science,8.4,N/A,17 Mo
382,"Purdue University, West Lafayette",Admit,Business Analytics and Information Syste,Fall 2019,168,154,3.5,322,100,IIT Kanpur,Civil Engineering,5.9,N/A,0 Mo
383,"University of Minnesota, Twin Cities",Admit,Mechanical Engineering,Fall 2018,160,153,3,313,107,IIT Kanpur,Mechanical Engineering,9.22,N/A,0 Mo
384,"University of Wisconsin, Madison",Reject,Electrical Engineering,Fall 2017,168,151,3.5,319,107,IIT Kanpur,EEE,8.6,N/A,0 Mo
385,"University of Wisconsin, Madison",Reject,Computer Science,Fall 2020,169,159,4,328,116,IIT Kanpur,Computer Science,9.3,N/A,19 Mo
386,"University of Wisconsin, Madison",Reject,Computer Science,Fall 2019,170,152,3,322,104,IIT Kanpur,EEE,8.5,1,31 Mo
387,Carnegie Mellon University,Reject,Robotics,Fall 2018,163,155,3.5,318,105,IIT Kanpur,Aeronautical Engineering,8.7,N/A,0 Mo
388,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
389,"University of California, San Diego",Reject,Computer Science,Fall 2018,169,155,3.5,324,113,IIT Kanpur,Computer Science,8.4,N/A,17 Mo
390,Johns Hopkins University,Admit,Robotics,Fall 2020,168,166,4,334,117,IIT Kanpur,EEE,8.9,N/A,17 Mo
391,Columbia University,Admit,Computer Science,Fall 2020,169,159,4,328,116,IIT Kanpur,Computer Science,9.3,N/A,19 Mo
